编号,名称,属性,种族值_生命,种族值_物攻,种族值_魔攻,种族值_物防,种族值_魔防,种族值_速度,种族值_总和,特性名称,特性效果,简介,进化阶段
NO095,记忆石,地,112,108,97,141,79,70,607,不移,携带的无额外效果的攻击技能，威力+30%。,埋在土地里露出上半截，就像是石碑一样。通过扫描分析它所散发的波动，能窥见一点点王国百年前的历史。,最终形态
NO096,咔咔羽毛,翼/普通,58,68,66,61,53,72,378,咔咔冲刺,若先于敌方行动，行动后获得连击数+1。,跑得很快，手短且柔软，一般用尾巴来代替手的作用。尝试助跑之后短暂地浮空，但似乎一直没能学会飞翔。,Ⅰ阶
NO097,咔咔雀,翼/普通,78,91,88,81,71,96,505,咔咔冲刺,若先于敌方行动，行动后获得连击数+1。,仿照洛克号的帆进化出了大尾巴，曾经尝试练习滑翔，大尾巴让它们能够短暂浮空，也可以用来吓唬和拍打敌人。,Ⅱ阶
NO098,咔咔鸟,翼/普通,97,114,110,101,89,120,631,咔咔冲刺,若先于敌方行动，行动后获得连击数+1。,拥有两条漂亮的大尾巴，虽然无法飞翔，但是抓着大尾巴可以滑翔一段距离，滑翔时身体散发出香香的味道，是因为这个种族普遍有些恐高，紧张的时候会释放舒缓神经的信息素，为自己壮胆。,最终形态
NO099,小草虫,虫/草,73,40,43,50,57,60,323,花精灵,回合结束时，己方队伍获得1次随机奉献。,果树分叉越多的地方，越容易找到他们，常常被误认为是未熟的青葡萄。肤表黏糊糊的，睡觉时缩成一团挂在树上。常观察到许多只挤在一起，目前推测是畏寒的原因。,Ⅰ阶
NO100,草衣虫,虫/草,97,53,57,67,75,80,429,花精灵,回合结束时，己方队伍获得1次随机奉献。,与果树是互利共生关系，在果树之间采蜜的同时完成授粉。尾部的花朵是虹吸式进食器官，能够用来吸取和储存花粉，是访花昆虫中最重要的种群。,Ⅱ阶
NO101,花衣蝶,虫/草,122,67,72,84,94,100,539,花精灵,回合结束时，己方队伍获得1次随机奉献。,原本的尾巴脱落后变成手中的花朵，似乎蕴含着魔法能量，能当作魔杖使用。冬日寒冷的雨夜里，成千上万的花衣蝶聚集在枯树上休息，清晨又四散飞走，如同花开一夜的蜃景。,最终形态
NO102,绿翼鸟,萌/翼,52,68,20,56,53,81,330,自由飘,自己每有1层萌化，获得连击数+2。,胆小谨慎的精灵，总是下意识地遮挡和隐藏自己。头部心型冠的原理不明，要小心对待，拉扯后，绿翼鸟的性格和样貌会大变，拉扯三次后变回本来的性格和样貌。,Ⅰ阶
NO103,魔翼鸟,萌/翼,70,91,27,75,70,108,441,自由飘,自己每有1层萌化，获得连击数+2。,巨大的翅膀能够给予敌人强有力的打击，旋转时更能提高打击效率。物理攻击和魔法攻击都很擅长，翅膀中蕴含着巨量魔力，翅膀内侧的脉络中是魔力流转的痕迹。,Ⅱ阶
NO104,魔眷鸟,萌/翼,87,113,34,94,88,135,551,自由飘,自己每有1层萌化，获得连击数+2。,似乎并非是自然产生的物种，对魔法的共鸣极强。根据调查统计结果来看，即使是野生的魔眷鸟也曾经有过契约者，怀疑是被制作出之后再放生的。,最终形态
NO105,阿米亚特,地,64,95,47,67,42,45,360,石头大餐,能量不足时，消耗5%生命，代替1能量。,全身都是岩石，但是眼睛周围没有岩石保护，是十分脆弱的柔软皮肤。喜欢吃不同口味的矿石，总是静静呆着，没什么存在感。,Ⅰ阶
NO106,阿米樱,地,86,127,62,89,56,60,480,石头大餐,能量不足时，消耗5%生命，代替1能量。,石头组成的上身和双臂异常粗壮，腿部短小，经常会腿痛。重重挥拳的时候会把构成手部的石头都打散，不过很快就会用岩石修补好。,Ⅱ阶
NO107,罗隐,地/恶,107,159,78,112,70,75,601,石头大餐,能量不足时，消耗5%生命，代替1能量。,身体中结晶脉络光滑透亮，十分坚硬，似乎是某种矿石。长着凶狠的样貌，揣着不知如何表达的善意，示好的时候会展示一下由石头构成的肌肉。,最终形态
NO108,风铃鲨,水/翼,54,46,46,63,63,75,347,水翼推进,己方精灵每使用1次水系技能，自己入场时获得全技能能耗-1。,如果看见它们在水面上大量聚集，往往预示着快要下雨。它们的尾巴摆动时带起细小涟漪，薄膜边缘会在气流中轻轻振动，发出清亮悦耳的声响。,Ⅰ阶
NO109,蓝蝶鲨,水/翼,72,61,61,84,84,100,462,水翼推进,己方精灵每使用1次水系技能，自己入场时获得全技能能耗-1。,它的身体构造至今难以完全解释：体内几乎都是水，身体被一层透明的膜包裹住，里面的液体非常轻。飞行时，由于压力变化或者风势太大，液体有时会漏出来。,Ⅱ阶
NO110,彩蝶鲨,水/翼,90,77,77,105,105,125,579,水翼推进,己方精灵每使用1次水系技能，自己入场时获得全技能能耗-1。,常被目击从水面贴风飞过，轻盈得几乎不留波纹，它飞行时会借气流而动，并且发出清亮的声音。危险逼近时，它会迅速褪淡体色，降低存在感，再沿风向逃跑。,最终形态
NO111,石石,地,76,79,79,101,56,76,467,石天平,若使用技能能耗高于敌方，回合结束敌方失去能耗之差的能量。,古老的种族，似乎和现在的精灵们很少交流，但对洛克族十分友好。地系部族掌握建造之术后的创造的第一个物种。在古代也被用作计量单位，一个石石约等于三十千克。,Ⅰ阶
NO112,巨灵石,地/幽,95,99,99,126,70,95,584,石天平,若使用技能能耗高于敌方，回合结束敌方失去能耗之差的能量。,从大地获取强大的能量，可以使用地系魔法操纵土壤石头。常常收集一些土壤，石块作为零食，喜欢边讲故事边嚼石头，洛克族的孩子们偶尔会躲在旁边偷偷听它们讲故事。,最终形态
NO113,仪使者,地/幻,64,54,57,69,71,51,366,观星,敌方每有1层星陨印记，自己的地系技能威力+15%。,在很久很久前被洛克族在遗迹的深处发现，可能已经有上千年的历史了。它的身体由宝石和贵重的金属组成，是被追求财富的人争抢的对象。,Ⅰ阶
NO114,仪式之星,地/幻,85,72,76,92,95,68,488,观星,敌方每有1层星陨印记，自己的地系技能威力+15%。,曾被误认为是雕像，但却有意识和情绪。传说它的身体上镶嵌的宝石象征三种元素。被认为是完美平衡的象征，有研究证明它能够感知或预测时间的流动。,Ⅱ阶
NO115,仪式巨像,地/幻,106,90,95,115,119,85,610,观星,敌方每有1层星陨印记，自己的地系技能威力+15%。,经过时间的洗礼，有些残缺的痕迹，是谜一般的存在，与其相关的研究记录十分少。但相反的这个种族似乎对洛克族十分了解和亲近。“也许生命会消失，从人们的记忆中淡忘，但文明的传承不会断绝。”,最终形态
NO116,小独角兽,光,79,48,129,62,74,84,476,目空,携带的非光系技能，威力+25%。,漂亮柔软的绿色鬃毛，让谁看了都想抚摸一下。不知是不是它散发出的魔力的缘故，在它的身边会感觉心灵也变得纯净了。,Ⅰ阶
NO117,白金独角兽,光,99,61,161,77,92,105,595,目空,携带的非光系技能，威力+25%。,在黑暗中能够照亮周围，像神明一般圣洁而华丽。头顶的角除了穿刺敌人，还能施放出让人震撼的强大魔法冲击。,最终形态
NO118,旋叶虫,普通/虫,56,15,65,63,55,72,326,共鸣,携带的【虫鸣】技能威力+20。,常挂在树上栖息，不仔细观察的话很难发现它们的踪迹。以类似树叶而闻名，颜色、形状，叶脉、叶梗，甚至是破损处也都非常相似。白天多保持静止，风起时会轻微摇晃，让自己更像一片真的叶子。,Ⅰ阶
NO119,蓬叶虫,普通/虫,74,19,87,84,73,96,433,共鸣,携带的【虫鸣】技能威力+20。,必要时能借助鞘翅短暂地在空中滑行，从一处树冠滑到另一处枝丫。它经常在风力带动下被动迁移，偶尔被风刮走很远，落稳后呆住好一会才能意识到周围环境已经变了。,Ⅱ阶
NO120,风滚暮虫,普通/虫,93,24,109,105,91,120,542,共鸣,携带的【虫鸣】技能威力+20。,借风而行的精灵，利用风把自己带离原地，遇到水面或湿润区域就停下来休息。滚动的时候可以帮助植物传播种子。性情温和，对精灵的幼年体都照顾有加，因此与不少精灵能维持友好的关系。,最终形态
NO121,小黑猫,普通,121,72,130,54,95,56,528,预警,若敌方技能足够击败自己，回合开始时自己获得速度+50。,在白天，小黑猫们经常闭眼休息，揣着手休息，如果冒昧地扒开它们的眼皮，会发现很多时候并没有在睡觉，有一种说法：小黑猫闭眼就是在思考。,Ⅰ阶
NO122,黑猫巫师,普通,152,91,163,67,119,70,662,预警,若敌方技能足够击败自己，回合开始时自己获得速度+50。,夜晚总是在看星星，长久地观察星空和白天不停地思考，似乎让它们拥有了占卜的能力。偶尔会看到有小洛克拿着可可果去拜托黑猫巫师帮忙预测期末考试题。,最终形态
NO123,忽幽狸,幽/毒,78,87,84,84,56,104,493,下黑手,敌方精灵离场后，更换入场的精灵获得5层中毒。,忽幽狸的尾巴覆盖着剧毒尖刺，静止时会伪装成灌木枝条。当感知到危险，尾巴会瞬间硬化成防御姿态，刺尖分泌的神经毒素能使猎物肌肉僵直。检测显示，其毒素对草系精灵效果加倍。,Ⅰ阶
NO124,影狸,幽/毒,97,109,105,105,70,130,616,下黑手,敌方精灵离场后，更换入场的精灵获得5层中毒。,总是弓着身子，脊椎特化为毒刺弹射装置，用来发射尾巴上的尖刺。体内另外储存了几十根可再生的空心毒刺，通过弹射加压能以每秒10发的速度喷射。,最终形态
NO125,多多,毒/地,47,53,53,82,66,54,355,毒牙,使敌方获得中毒时，也会使其获得魔攻和魔防-40%。,头部帽子一样的组织触感舒适，冰凉弹软。受到惊吓的话，会从头部喷射出大量毒液，之后迅速缩起陷入昏厥状态。,Ⅰ阶
NO126,多啦多,毒/地,63,70,70,109,88,72,472,毒牙,使敌方获得中毒时，也会使其获得魔攻和魔防-40%。,头部的粘液组织十分不稳定，情绪激动时甚至会掉落一部分。受到刺激后粘液会挥发到空气中，释放致幻毒素。,Ⅱ阶
NO127,古啦多,毒/地,79,88,88,136,110,90,591,毒牙,使敌方获得中毒时，也会使其获得魔攻和魔防-40%。,头部突起越复杂代表着年龄越大，突起内部充斥剧毒毒液，被一层外套膜包裹起来。遇到危险时，会释放更为强大的致幻毒素，但是并不致命。因此，部分洛克因为想要致幻体验，而专门寻找它们。,最终形态
NO128,哭哭菇,幻,74,38,41,30,60,36,279,吸积盘,回合结束时，敌方获得2层星陨印记。,成群地栖息在潮湿少光的地域，分泌出来的粘液具有独特的气味，引诱旅人深入密林，吸入过多这种气体便会不停流泪。,Ⅰ阶
NO129,怖须菇,幻,99,50,55,40,80,48,372,吸积盘,回合结束时，敌方获得2层星陨印记。,会将身体埋入土壤中，依靠独特的腺体将吸收的水分转化为带有毒性的黏液，干燥与炎热时，散发的气味微微发酸，闻到会想起悲伤的事情。,Ⅱ阶
NO130,怖哭菇,幻,124,63,69,50,100,60,466,吸积盘,回合结束时，敌方获得2层星陨印记。,长期在暗处生存，双目视觉逐渐退化，演化出了胸前能够探测、储存幻系能量的触手。幻系能量凝聚在菌柄中，赋予了其极强的再生能力，即便是经过火焰的炙烤，依旧能迅速生出饱满的躯体。,最终形态
NO131,恶魔狼,恶,115,114,45,91,63,120,548,悲悯,己方队伍中每有1只力竭的精灵，自己获得双攻+30%。,胸前的毛发非常粗糙，似乎能够起到保护作用。能够在战场上高速地移动，迅猛的前爪攻击十分有力。,最终形态
NO132,小电企鹅,冰/电,75,45,101,59,87,100,467,超负荷,攻击技能获得迸发：敌方获得全技能能耗+1。,它们生活在寒冷的水域，会用头顶的晶体吸收空气里的电能量。当能量充足时，晶体表面会浮现细碎的亮纹和电光。偏爱暴雪与打雷的天气，风雪越大、雷声越近，它们越活跃。,Ⅰ阶
NO133,电企鹅,冰/电,94,56,126,73,109,125,583,超负荷,攻击技能获得迸发：敌方获得全技能能耗+1。,常成群扎堆出现来汲取更充沛的电能量，在寒冷区域居民的传说里，电企鹅大量聚集往往预示极端天气将至，当地还有个习俗——如果遇到雷暴天气，就把电企鹅放在房顶上，可以避免雷电损坏房屋。,最终形态
NO134,雪豆丁,冰,97,104,47,83,62,36,429,打雪仗,初始能量为0，入场前己方精灵每放1次冰系技能，回复3能量。,出生后被父母放置在雪窝里，进食补充的能量会在冬眠时令身躯快速成长。大手大脚的雪豆丁习惯于翻滚着移动。思维直接，比较容易发脾气，可以抚摸脑袋令其冷静。,Ⅰ阶
NO135,雪蛮人,冰,130,139,63,111,83,48,574,打雪仗,初始能量为0，入场前己方精灵每放1次冰系技能，回复3能量。,上肢沉重却灵活，体表鬃毛格外厚重，兼具保暖与防护的功能。吸收的寒气能够压缩后储存在脊背和额头上，形成坚实有力的冰晶，用以保持平衡和击打对手。,Ⅱ阶
NO136,雪巨人,冰,162,174,79,139,104,60,718,打雪仗,初始能量为0，入场前己方精灵每放1次冰系技能，回复3能量。,雪巨人感官极其敏锐，能感受到天气和气温的微小变化，会在族群的幼崽沉睡时巡逻保护它们。双臂能够撑地进行超远距离跳跃，在雪山里飞速前进，跳跃时在岩石上留下后足形状。,最终形态
NO137,呼呼猪,冰/地,98,95,33,88,81,68,463,冻土,每携带1个冰系技能进入战斗，地系技能威力+10%。,得益于能够分泌疏水性油脂的皮脂腺，皮毛紧实而油亮，既防水又防寒。四肢短而粗壮，跑起来很快，奔跑时偶尔轻微摆动尾巴用来保持平衡。,Ⅰ阶
NO138,獠牙猪,冰/地,123,119,41,110,101,85,579,冻土,每携带1个冰系技能进入战斗，地系技能威力+10%。,身躯看似圆润，但其实十分健壮灵活，拥有令人意想不到的爆发力，即使在冰天雪地里，也非常有活力。,最终形态
NO139,雪娃娃,冰,56,67,67,63,63,69,385,冰封,在场时，敌方全技能能耗+1。,它对洛克族异常友好，面对温暖的抚摸和拥抱也从不抗拒。传说它们是最早与洛克建立契约的种族之一，耳朵的轮廓正像星之链在契约双方之间勾勒出的形状。,Ⅰ阶
NO140,冰封怨灵,冰,75,90,90,84,84,92,515,冰封,在场时，敌方全技能能耗+1。,缔结契约的向往更明显，甚至会主动靠近潜在契约者，似乎由冰元素和某种尚不清楚的物质构成，推测这部分来自强烈的信念和精神力，使它们的契约更稳定、也更难被外力改变。,Ⅱ阶
NO141,雪灵,冰,94,112,112,105,105,115,643,冰封,在场时，敌方全技能能耗+1。,只有当契约者死亡的时候才会寻找下一位契约者。假如原契约者活着，但它们必须更换契约者的话，可能会自我了结生命。,最终形态
NO142,大耳帽兜,冰/萌,78,62,59,39,78,54,370,捉迷藏,使敌方获得冻结时，也会使其获得全技能能耗+1。,全身覆满白色绒毛，能抵御寒冷，仔细观察它们的毛毛分为两种，一种是顺滑纤细的针毛，另一种是又软又密的绒毛。虽然体型小，但却不畏惧寒冷，小小的手爪柔软又温暖。似乎喜欢抱抱。,Ⅰ阶
NO143,帽兜娃娃,冰/萌,104,83,78,52,104,72,493,捉迷藏,使敌方获得冻结时，也会使其获得全技能能耗+1。,头部浓密柔软的绒毛负责锁住热量，形成高效的保暖屏障，减少温度流失，兜帽形态的头部结构也可以有效防风。同种族喜欢聚集在一起，贴着脑袋，发热保暖。可能因为这种地缘因素，它们产生了一些社会性和群居属性。,Ⅱ阶
NO144,雪影娃娃,冰/萌,130,103,98,66,130,90,617,捉迷藏,使敌方获得冻结时，也会使其获得全技能能耗+1。,进化后头部绒毛完全脱落，褪去的绒毛承载着进化前的回忆，被制作成一个毛绒娃娃。毛绒娃娃如果能抵御一个严冬就可以获得生命，过程中需要雪影娃娃的悉心养护。,最终形态
NO145,权杖-Ⅱ,机械,82,84,78,109,109,60,522,机械变式,自己携带的技能每回合位置变化时，该技能能耗-1。,黄金时代的工匠们曾将占星与炼金并列为同一门学问的两种语言。于是他们以火焰为芯，以螺纹为骨，铸成了权杖。现在只有极少量留存下来。,Ⅰ阶
NO146,权杖-Ⅴ,机械,103,105,97,136,136,75,652,机械变式,自己携带的技能每回合位置变化时，该技能能耗-1。,在充满斗争与冲突的时代中诞生的精灵，背负着工匠们的意志、行动与他们所点燃的第一把火。在诞生之初能向周围的机械精灵发出统一指令，它们能协调队列、分配任务，让贵族看到了机械系精灵无限的可能性。,最终形态
NO147,灵狐,火/冰,69,52,52,50,64,60,347,灵魂灼伤,冰系技能使敌方获得4层灼烧，火系技能使敌方获得2层冻结。,鼻子呼出的热热的气可能会灼伤小洛克的手，如果在雪山不小心被冻伤，去拜托灵狐帮忙吹一口热气，冻伤瞬间就会痊愈了。,Ⅰ阶
NO148,九尾狐,火/冰,92,70,70,67,86,80,465,灵魂灼伤,冰系技能使敌方获得4层灼烧，火系技能使敌方获得2层冻结。,尾巴里储存着强大的魔力，能够释放一种特殊的雪魔法，保护越冬作物免受冻害、消灭土壤中害虫，如果在冬天的农田里看到九尾狐出现，就知道明年一定会丰收。,Ⅱ阶
NO149,尖嘴狐仙,火/冰,115,87,87,84,107,100,580,灵魂灼伤,冰系技能使敌方获得4层灼烧，火系技能使敌方获得2层冻结。,尖嘴狐仙能通过感知大地的温度变化来预测农时。当它摇着尾巴经过农田时，尾巴扇动的气流会形成特殊的暖湿环流，让田地在寒冷的初春也能保持适宜作物生长的温度。,最终形态
NO150,里奥,翼,79,65,65,77,50,75,411,飓风,对本精灵的技能，若其他翼系精灵携带相同技能，则获得迅捷。被敌方精灵击败时，自己额外损失1点魔力。,有着圆滚滚的身躯，小小的翅膀还无法熟练飞翔，却能和愿力发生共鸣，从而获得力量。“和伙伴在一起的安全感连美食都不能替代。即使有时候像个小跟屁虫也无所谓。”,Ⅰ阶
NO151,灵羽勇士,翼,105,87,87,102,66,100,547,飓风,对本精灵的技能，若其他翼系精灵携带相同技能，则获得迅捷。被敌方精灵击败时，自己额外损失1点魔力。,弱小的家伙为了伙伴却愿意勇敢向前！光羽圣殿的门扉悄然开启，沐浴在圣光之力的启迪中，澎湃的力量汹涌而来。“它的思绪已沉醉在无垠的天际中，这片蓝天便是它魂牵梦绕的地方”。,Ⅱ阶
NO152,圣羽翼王,翼,132,109,109,128,83,125,686,飓风,对本精灵的技能，若其他翼系精灵携带相同技能，则获得迅捷。被敌方精灵击败时，自己额外损失1点魔力。,庇佑这片纯粹的净土，是拥有强大力量之后背负的使命。从上古壁画中得知尘封的过往，它寻求力量，发自内心地想要保护现在的一切。“张开圣洁的羽翼，为同伴抵挡风雨，便是它心中的圣歌”。,最终形态
NO153,松仔,草/武,63,83,34,77,60,63,380,野性感官,应对成功后，下次行动先手+1。,如果察觉到小洛克踏入森林，它们会把角塞在树杈中间伪装松果，诱使小洛克靠近观察。被林间露水打湿的话它们会结伴去晒太阳，晒太阳的时候会散发香香的味道。,Ⅰ阶
NO154,松叶羊,草/武,84,111,46,102,80,84,507,野性感官,应对成功后，下次行动先手+1。,刚刚经历换角，松果模样的角脱落，身上的针叶变得锋利，逐渐觉醒领地意识。换角的过程中不要贸然靠近，不然会被踢出几米远。被踢的时候可以闻到它们身上带着森林中泥土和青草的香味。,Ⅱ阶
NO155,针叶巡林,草/武,105,139,57,128,100,105,634,野性感官,应对成功后，下次行动先手+1。,角上覆盖的鳞片脱水后自然开裂成树枝状，在森林中极其灵活地穿梭，极少被洛克持续观测到。它们拥有修长的身体和轻盈的骨骼结构，奔跑迅速。,最终形态
NO156,小勇狮,火/武,82,31,66,53,78,48,358,圣火骑士,应对成功后，下次攻击威力翻倍。,喉咙处有容纳火系魔法的身体结构，在小勇狮身上还不太明显，偶尔能发现它打喷嚏的时候会喷出小火花。,Ⅰ阶
NO157,炽焰狮,火/武,110,41,89,70,104,64,478,圣火骑士,应对成功后，下次攻击威力翻倍。,只是咆哮就能点燃空气，附着火系魔法的利爪能撕裂岩石。喉咙处的火囊发育成熟，可以喷吐高温火球，但偶尔会因能量过载而引发小型爆炸。,Ⅱ阶
NO158,炽心勇狮,火/武,137,51,111,88,130,80,597,圣火骑士,应对成功后，下次攻击威力翻倍。,是王国不休的守护者，它们拥有永不熄灭的火焰心脏，喷吐的火焰会越烧越烈。传说它曾以单狮之力击退山崩，火焰的温度能融化岩石。虽然性格高傲，但对认可的伙伴极为忠诚。,最终形态
NO159,水滴蛇,水/武,63,66,62,62,62,63,378,思维之盾,应对成功后，下次行动技能能耗-5。,和水滴蛇对上眼神的时候，最好保持礼貌并且尝试解答它们留下的难题，如果拒绝回答或敷衍，往往会招来恶作剧，让你在不知不觉中迷路或错过冒险的宝藏。,Ⅰ阶
NO160,水蛇锁,水/武,84,88,83,83,83,84,505,思维之盾,应对成功后，下次行动技能能耗-5。,水蛇锁经常悄悄靠近洛克，没有半点声响。它们不以贪婪著称，也不说谎。它们的目的是汲取你的知识。试试用最珍贵的知识与它交换，或许就能平安离开。,Ⅱ阶
NO161,游蛇魔使,水/武,105,110,104,103,103,105,630,思维之盾,应对成功后，下次行动技能能耗-5。,会被聪明的洛克吸引，对知识的崇拜无以复加，愿意用任何自己所拥有的事物来交换知识。它们拥有修长柔软的尾巴，据说尾巴尖端可以打开远古的知识之门。,最终形态
NO162,公平鸽,普通,113,93,93,125,125,100,649,衡量,入场时，复制敌方的增益。在场时，若敌方获得增益自己也会获得。,第一、绝对不放过任何争执！第二、绝对不能因为睡过头晚到现场！第三、绝对要公正裁判！第四、绝对要在被双方驱逐之前做出判决。——《公平鸽的守则》,最终形态
NO163,小怂猫,武,74,106,101,89,76,76,522,威慑,打断敌方时，被打断的技能进入2回合冷却。,胆量极小的猫科精灵，曾因极少被观测记录，被王国记录为已灭绝的物种。翼膜上的眼状图案可以吓退大多数天敌，遇到敌人会张开双臂一动不动地站着，一直到对方离开或者自己昏厥。,Ⅰ阶
NO164,怒目怂猫,武,92,132,126,111,95,95,651,威慑,打断敌方时，被打断的技能进入2回合冷却。,胸脯处长着结构独特的气囊，能够迅速膨起至数倍大，形状像是血盆大口，可以吓退敌人。想回到正常姿势需要排出胸脯中的气体，排气的时候会发出非常可爱的声音，一般会在没有其他生物看到的时候偷偷排气。,最终形态
NO165,小狮鹫,翼,61,69,39,64,33,72,338,乘风连击,使用翼系技能后，获得连击数+1。,只能勉强顶破头部的壳，剩余的蛋壳会陪伴小狮鹫度过幼年时期，能够保护尚且脆弱的羽毛。流线型的蛋壳构造还能减小风阻，丝毫不会影响行动。,Ⅰ阶
NO166,神圣狮鹫,翼,82,92,51,86,44,96,451,乘风连击,使用翼系技能后，获得连击数+1。,悬崖间的风往往更加凶猛，崖间的狮鹫家族在这里锻炼出能抵抗风阻的飞行能力，身上的羽毛多为修长的硬羽而较少绒毛，在乱流里也稳住身形并快速调整航向。,Ⅱ阶
NO167,皇家狮鹫,翼,102,116,64,107,55,120,564,乘风连击,使用翼系技能后，获得连击数+1。,为了适应强风阻演化出了流线型的面部长羽，微微压住瞳孔是为了在崖间穿梭时更好地视物。尾羽更加修长，能够有效引导风的流动方向，让飞行更加省力和稳定。,最终形态
NO168,圆眼蜘蛛,虫,55,37,37,55,55,66,305,毒腺,使用能耗小于等于1的技能时，敌方获得4层中毒。,幼体的圆眼蜘蛛并不太能织网捕食，多以青草，树果为食。复眼获取信息范围极大，速度极快，即便是独眼，圆眼蜘蛛获取信息速度远超过洛克族100倍。,Ⅰ阶
NO169,尖角蜘蛛,虫/毒,74,49,49,73,73,88,406,毒腺,使用能耗小于等于1的技能时，敌方获得4层中毒。,各关节覆盖着绒毛，绒毛可以疏水和保暖。在湿滑的雨天也可以自由行走，世界的动态在它们眼里显得很慢，所以大部分尖角蜘蛛都是急性子。,Ⅱ阶
NO170,芋香巨角蛛,虫/毒,92,61,61,91,91,110,506,毒腺,使用能耗小于等于1的技能时，敌方获得4层中毒。,颜色鲜艳美丽，尾部丝囊中的液体有剧毒，织出的蜘蛛网散发异香。依靠体毒和利刺能轻易捕获猎物，从不群居，个体之间都保持一定距离，互不侵犯。,最终形态
NO171,波波螺,地/水,67,59,59,87,66,42,380,消波块,每携带1个水系技能进入战斗，地系技能能耗-1。,经常频繁抖动身体，推测是缓解外壳生长带来的不适感。它们常集体排成一列迎向海浪，借助外壳的结构消解冲击。浪头拍来时会张口吸入送上门的食物，连很硬的东西也能消化。,Ⅰ阶
NO172,消波螺,地/水,89,78,78,116,88,56,505,消波块,每携带1个水系技能进入战斗，地系技能能耗-1。,进化后，外壳生长速度更快，更需要精心维护——它们会定期在岩石上打磨外壳。个体之间还会互相叠在一起摩擦打磨，发出“砰砰”的声响。若较长时间没有打磨，行动会明显变慢。,Ⅱ阶
NO173,嗜波螺,地/水,112,98,98,146,110,70,634,消波块,每携带1个水系技能进入战斗，地系技能能耗-1。,在海浪冲击下，演化出坚韧的矿物质石柱外壳，是一种非常稳定的消波结构，能把浪涌的力量层层化解。声音在石柱间隙中不断反射产生共鸣，能发出类似海浪的声音。,最终形态
NO174,菇菇丁,地/草,89,61,57,70,57,42,376,多人宿舍,自己的能量可以超过能量上限。,“你知道吗？菇菇丁早已建立了广阔的地下王国，它们的菌丝体蔓延到整片森林，链接着许多土壤，将沾染了星星魔法碎屑的砂土和木头转化为魔法力量，循环利用，它们才是这片森林的主人！”,Ⅰ阶
NO175,多菇丁,地/草,119,81,76,93,76,56,501,多人宿舍,自己的能量可以超过能量上限。,“又有了新的发现，多菇丁埋地时，是在通过菌丝体往地下传播信号，向其他菇精灵发出指令，它们信号的语言结构和古文字非常相似，也许它们的历史远比洛克以为的要早得多。”,Ⅱ阶
NO176,九幽菇,地/草,149,102,95,116,95,70,627,多人宿舍,自己的能量可以超过能量上限。,“在古老的遗迹中发现了九幽菇的石雕，当时的洛克对九幽菇充满了崇拜，他们会在仪式上围着九幽菇唱歌，并在祭祀的指导下服用其孢子，进入幻觉，企图沟通神明，然而也存在接触它的孢子太久而神志不清的情况，等等，难道我也……”,最终形态
NO177,斑斑,翼,71,90,90,71,80,92,494,逐魂鸟,能耗小于等于1的攻击技能，无法对自己造成伤害。,和噜噜家族是远亲，但几乎从不联系，即使是同种族的斑斑们互相之间也并不亲近。从蛋里孵出来之后就非常独立了，经常迈着毛茸茸的小腿，挥着小小的翅膀巡视领地，十分高傲。,Ⅰ阶
NO178,斑枭,翼,89,112,112,89,100,115,617,逐魂鸟,能耗小于等于1的攻击技能，无法对自己造成伤害。,和洛克相交甚少的种族，拥有比较强的野性和攻击性。如果在领地内看到生面孔，可能俯冲下来攻击对方，拥有出色的深度感知能力和夜视能力，即使藏在阴影处也难以逃过它的双眼。,最终形态
NO179,草头鸭,草,92,79,24,66,50,92,403,得寸进尺,天气为雨天，或处于其他水系环境中时，获得双攻+100%。,眼睛长在两侧，不停地转动，不知道是不是在思考，很难解读它的行为规律。视觉范围有360度，从任何方向接近都会被它发现。,Ⅰ阶
NO180,卷毛鸭,草/武,116,98,29,83,63,115,504,得寸进尺,天气为雨天，或处于其他水系环境中时，获得双攻+100%。,身形与洛克近似，空洞的目光仿佛若有所思。头顶的毛发十分柔软，自然卷曲，这在鸭精灵中十分少见。,最终形态
NO181,海豹战士,武/水,72,91,87,89,62,80,481,身经百练,己方精灵每应对1次，自己入场时水系和武系技能威力+20%。,圆润的身躯游得飞快，皮肤非常滑溜，十次抓捕中九次都要被它溜走。喜欢被紧挨着或被挤压着的感觉，经常成群结队地出没，迷路的时候，也会一整群一起迷路。,Ⅰ阶
NO182,海豹船长,武/水,90,113,109,111,77,100,600,身经百练,己方精灵每应对1次，自己入场时水系和武系技能威力+20%。,由聪慧且经验丰富的海豹战士进化而来，拥有极强的领地意识。这一物种对征服由极端的渴望，认为其他精灵都要臣服于它们。会指挥手下的海豹战士战斗。,最终形态
NO183,号儿鱼,水,109,27,76,76,88,84,460,泛音列,使用状态技能后，敌方获得【聒噪】技能的效果，持续3回合。,拥有中空结构的尾巴，空气和水流过的时候会发出小号一样响亮的声音。非常喜欢社交的生物，经常举办盛大的音乐会，不同的小号精灵会轮流展示自己的音乐才华，创造出令人惊叹的合奏。,Ⅰ阶
NO184,圆号鱼,水,136,34,95,95,110,105,575,泛音列,使用状态技能后，敌方获得【聒噪】技能的效果，持续3回合。,会专门去矿物质丰富的水域，通过吸收矿物质来调整背部结构，达到调音的目的。群居，每天早上起来一齐练声，巨大的合奏声能唤醒周围水域的所有生物，喜欢安静的精灵们不愿意住在它们旁边。,最终形态
